Gateway,장비,Total(g),Total(qty)
101,1,1300,8
101,2,1870,10
101,3,1400,8
102,4,1585,12
102,5,1710,14
102,6,1755,11
103,7,1800,9
103,8,1915,14
103,9,1635,8
104,10,1500,12
104,11,1340,7
104,12,1285,7
105,13,1560,10
105,14,1240,7
105,15,1635,11
106,16,0,0
106,17,1970,13
106,18,1440,9
107,19,1905,9
107,20,1650,13
107,21,1880,10
108,22,2075,12
108,23,2030,10
108,24,2220,15
109,25,2320,12
109,26,2125,10
109,27,2555,15
110,28,2440,15
110,29,2010,11
110,30,1770,9
111,31,1985,13
111,32,2680,17
111,33,2170,11
112,34,1825,10
112,35,2385,17
112,36,2345,13
113,37,1815,11
113,38,1355,7
113,39,2355,13
114,40,1430,6
114,41,1610,10
114,42,1785,12
115,43,1475,9
115,44,1660,9
115,45,1400,8
116,46,1515,11
116,47,1285,8
116,48,1315,11
117,49,1580,9
117,50,1950,14
117,51,1590,12
118,52,1185,10
118,53,1265,10
118,54,1630,8
119,55,1935,11
119,56,810,5
119,57,2005,12
120,58,2140,16
120,59,1515,10
120,60,1510,8
121,61,2045,15
121,62,1545,9
121,63,990,5
122,64,1990,12
122,65,2290,13
122,66,1995,11
123,67,1770,10
123,68,1615,8
123,69,995,7
124,70,1655,11
124,71,1525,8
124,72,1380,8
125,73,1730,10
125,74,1635,10
125,75,1960,10
126,76,1010,14
126,77,975,6
126,78,1215,9
128,82,1695,10
128,83,1780,14
128,84,1190,5
129,85,1800,13
129,86,1480,8
129,87,1465,8
130,88,1725,12
130,89,1635,10
130,90,1585,10
131,91,1775,11
131,92,1825,13
131,93,1520,10
132,94,1805,11
132,95,1730,13
132,96,1650,11
133,97,1575,8
133,98,1600,10
133,99,1550,8
134,100,1900,12
134,101,905,5
134,102,1275,9
135,103,1840,8
135,104,910,8
135,105,2010,10
136,106,1725,9
136,107,1690,8
136,108,1550,9
137,109,1925,11
137,110,1350,6
137,111,1670,9
139,115,2295,14
139,116,1230,7
139,117,1850,9
150,79,1385,7
150,80,1765,11
150,81,1865,11
151,112,1600,11
151,113,1165,6
151,114,2090,12
